epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,8911.57,0.63453,0.7451,1.19023,0.9422,0.94106,0.97057,0.82583,0.62499,0.47529,1.13594,0.005842,0.005842,0.005842
44,9114.55,0.63577,0.7403,1.18904,0.9358,0.95143,0.97205,0.82949,0.62066,0.47356,1.13236,0.005743,0.005743,0.005743
45,9315.83,0.62686,0.72674,1.18409,0.9606,0.95462,0.97643,0.83062,0.62921,0.43953,1.1276,0.005644,0.005644,0.005644
46,9518.33,0.62616,0.7251,1.18116,0.94492,0.95404,0.97135,0.82222,0.62816,0.46527,1.11613,0.005545,0.005545,0.005545
47,9719.34,0.62477,0.71616,1.18417,0.95155,0.95308,0.97621,0.82996,0.64601,0.47689,1.15064,0.005446,0.005446,0.005446
48,9921.78,0.62145,0.71736,1.17903,0.96216,0.94935,0.97814,0.83239,0.61244,0.46192,1.10583,0.005347,0.005347,0.005347
49,10125.8,0.62092,0.70879,1.17857,0.94801,0.94734,0.97101,0.82961,0.6016,0.46237,1.08795,0.005248,0.005248,0.005248
50,10326.5,0.61918,0.70339,1.18046,0.94385,0.94825,0.97369,0.83328,0.60345,0.44743,1.10426,0.005149,0.005149,0.005149
51,10530.7,0.60761,0.69546,1.17277,0.95575,0.95208,0.97457,0.83698,0.59187,0.45268,1.07668,0.00505,0.00505,0.00505
52,10732.6,0.6104,0.69875,1.17273,0.94048,0.95561,0.97317,0.84153,0.57873,0.43623,1.07103,0.004951,0.004951,0.004951
53,10935.7,0.61399,0.69183,1.17266,0.94285,0.95245,0.97222,0.8327,0.59705,0.45715,1.08349,0.004852,0.004852,0.004852
54,11135.8,0.6025,0.67793,1.17089,0.95712,0.95157,0.9773,0.83781,0.60872,0.43455,1.07571,0.004753,0.004753,0.004753
55,11338.5,0.59605,0.66962,1.16646,0.95231,0.95769,0.97478,0.8384,0.6023,0.43427,1.08277,0.004654,0.004654,0.004654
56,11543.1,0.60676,0.67636,1.16802,0.96483,0.94692,0.97966,0.84284,0.59867,0.42204,1.07303,0.004555,0.004555,0.004555
57,11749.8,0.60512,0.67227,1.16479,0.9533,0.95493,0.97565,0.84712,0.57711,0.42911,1.06741,0.004456,0.004456,0.004456
58,11953.4,0.59771,0.66897,1.16303,0.96111,0.95686,0.97716,0.84109,0.585,0.4299,1.07999,0.004357,0.004357,0.004357
59,12157.6,0.5941,0.66152,1.16322,0.95074,0.95966,0.97511,0.8424,0.56561,0.43749,1.05392,0.004258,0.004258,0.004258
60,1441.99,0.58579,0.64751,1.16092,0.95263,0.96186,0.97741,0.84432,0.58159,0.42361,1.06548,0.004159,0.004159,0.004159
61,1658.98,0.58898,0.64737,1.15895,0.9632,0.95692,0.97936,0.84583,0.58956,0.41748,1.06758,0.00406,0.00406,0.00406
62,1859.37,0.58342,0.65358,1.15822,0.95965,0.95467,0.97802,0.84523,0.57491,0.4253,1.06265,0.003961,0.003961,0.003961
63,2061.29,0.58019,0.63848,1.15545,0.95841,0.95858,0.97783,0.85212,0.55404,0.4061,1.0396,0.003862,0.003862,0.003862
64,2268.08,0.58981,0.64569,1.15679,0.95502,0.95649,0.97814,0.85176,0.56558,0.41592,1.04872,0.003763,0.003763,0.003763
65,2472.87,0.58348,0.64031,1.1552,0.96619,0.96308,0.97876,0.85662,0.55882,0.40852,1.05837,0.003664,0.003664,0.003664
66,2677.23,0.57377,0.62521,1.14884,0.964,0.9611,0.97832,0.85493,0.554,0.4096,1.04444,0.003565,0.003565,0.003565
67,2949.81,0.58084,0.62963,1.15455,0.96241,0.95913,0.9781,0.85038,0.56834,0.41031,1.05884,0.003466,0.003466,0.003466
68,3153.68,0.57036,0.61609,1.14318,0.96722,0.95949,0.97951,0.8536,0.56758,0.39993,1.05093,0.003367,0.003367,0.003367
69,3355.12,0.57352,0.6323,1.14729,0.9651,0.9633,0.9809,0.85477,0.56119,0.39406,1.04521,0.003268,0.003268,0.003268
70,3560.21,0.56731,0.61253,1.14059,0.96676,0.96146,0.98117,0.85612,0.55196,0.39985,1.03855,0.003169,0.003169,0.003169
71,3890.23,0.57034,0.61595,1.1442,0.96991,0.95923,0.9807,0.85228,0.55226,0.4022,1.02885,0.00307,0.00307,0.00307
72,4095.95,0.56341,0.60876,1.14106,0.96056,0.95833,0.97669,0.85347,0.54072,0.40675,1.02178,0.002971,0.002971,0.002971
73,4299.16,0.56382,0.60279,1.14058,0.96619,0.95438,0.97807,0.85351,0.5527,0.4203,1.04052,0.002872,0.002872,0.002872
74,4503.14,0.56215,0.59977,1.13774,0.96435,0.95943,0.97891,0.85834,0.54862,0.41818,1.0372,0.002773,0.002773,0.002773
75,4707.44,0.56136,0.60005,1.13906,0.96587,0.96089,0.97914,0.85914,0.53859,0.40825,1.02557,0.002674,0.002674,0.002674
76,4912.19,0.55749,0.59564,1.14033,0.96969,0.96259,0.98125,0.85974,0.53741,0.40366,1.02091,0.002575,0.002575,0.002575
77,5114.71,0.5559,0.58851,1.13592,0.96422,0.96386,0.98096,0.86123,0.5451,0.39997,1.03295,0.002476,0.002476,0.002476
78,5317.97,0.54856,0.58163,1.13641,0.96746,0.95815,0.98017,0.85758,0.54106,0.40425,1.02312,0.002377,0.002377,0.002377
79,5522.73,0.54761,0.57625,1.12901,0.96201,0.96036,0.97885,0.86235,0.52912,0.39749,1.00496,0.002278,0.002278,0.002278
80,5728.59,0.55025,0.58537,1.1328,0.96948,0.9622,0.98146,0.86434,0.52929,0.38355,1.00804,0.002179,0.002179,0.002179
81,5933.78,0.54493,0.58298,1.13387,0.96624,0.96355,0.98166,0.86364,0.54069,0.37966,1.02024,0.00208,0.00208,0.00208
82,6137.87,0.54422,0.57266,1.13189,0.96262,0.96256,0.98086,0.8646,0.52979,0.37885,1.01385,0.001981,0.001981,0.001981
83,6343,0.54377,0.56859,1.13019,0.97227,0.96292,0.98122,0.86466,0.5343,0.37891,1.01815,0.001882,0.001882,0.001882
84,6549.02,0.54393,0.58156,1.12859,0.9683,0.96232,0.98075,0.86355,0.53293,0.38003,1.01338,0.001783,0.001783,0.001783
85,6754.25,0.5453,0.57225,1.12664,0.96791,0.9622,0.98236,0.8659,0.52951,0.37976,1.00903,0.001684,0.001684,0.001684
86,6957.16,0.53033,0.55847,1.12221,0.96742,0.96395,0.98185,0.8673,0.52509,0.37804,1.01159,0.001585,0.001585,0.001585
87,7159.89,0.52628,0.55051,1.1162,0.96585,0.96011,0.98149,0.8655,0.52907,0.37885,1.01242,0.001486,0.001486,0.001486
88,7362.33,0.5319,0.55433,1.11999,0.96632,0.96446,0.98197,0.86853,0.51935,0.37448,0.99713,0.001387,0.001387,0.001387
89,7566.51,0.53174,0.5529,1.11745,0.96902,0.96225,0.98186,0.86947,0.52017,0.37737,0.998,0.001288,0.001288,0.001288
90,7773.43,0.52941,0.55002,1.1174,0.96834,0.96312,0.98159,0.87161,0.51448,0.37597,0.99051,0.001189,0.001189,0.001189
91,7968.15,0.4213,0.36786,1.16423,0.96716,0.96554,0.98056,0.87462,0.50413,0.3811,0.9856,0.00109,0.00109,0.00109
92,8158.85,0.40078,0.31182,1.13885,0.96535,0.96451,0.98076,0.87869,0.4934,0.37537,0.97421,0.000991,0.000991,0.000991
93,8349.79,0.39512,0.31184,1.13695,0.96511,0.96461,0.98132,0.88182,0.48226,0.36955,0.95785,0.000892,0.000892,0.000892
94,8544.41,0.3914,0.30623,1.13138,0.9671,0.96295,0.98154,0.88408,0.47859,0.36705,0.95203,0.000793,0.000793,0.000793
95,1941.05,0.51971,0.54951,1.11672,0.96684,0.96581,0.98264,0.88591,0.48027,0.35739,0.95077,0.000694,0.000694,0.000694
96,2145.19,0.50909,0.51925,1.10581,0.96836,0.97008,0.98328,0.88206,0.48585,0.35317,0.95447,0.000595,0.000595,0.000595
97,2346.94,0.50268,0.52247,1.10573,0.96948,0.96871,0.98298,0.88026,0.49096,0.35336,0.95669,0.000496,0.000496,0.000496
98,2550.7,0.50001,0.51007,1.10403,0.97052,0.96906,0.98277,0.87986,0.49214,0.35175,0.95449,0.000397,0.000397,0.000397
99,2760.67,0.50584,0.51528,1.10272,0.97118,0.9677,0.98267,0.87797,0.49582,0.3511,0.9584,0.000298,0.000298,0.000298
100,2962.38,0.50305,0.51424,1.10196,0.97158,0.96572,0.9824,0.87916,0.4974,0.35125,0.96013,0.000199,0.000199,0.000199
